,post_id,source,date,text,image,url
78,927102641069502,Prefeitura de Icém,"[datetime.datetime(2020, 5, 12, 17, 44, 58)]",🚨Confira o Boletim Informativo de Icém referente ao Covid-19 atualizado em 12/05 às 17:40 horas Seguimos sem nenhum caso confirmado em nossa cidade.  # Fique Em Casa # Use Máscara # Prevenção 🏡🏡🏡,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/97325407_927102491069517_3271903397443272704_o.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_ohc=zUI3DAvCjisAX9Sztno&_nc_ht=scontent.fcgh7-1.fna&oh=d0c7960c14d82f82ff02cc35e0e6e16f&oe=5F1F6176,/story.php?story_fbid=927102641069502&id=234499770329796
79,926448024468297,Prefeitura de Icém,"[datetime.datetime(2020, 5, 11, 19, 38, 52)]",Boletim Informativo Atualizado :CORONAVÍRUS  Segunda-Feira 11/05/20 (ICÉM),https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/97003602_926447841134982_1401152416539213824_o.jpg?_nc_cat=111&_nc_sid=8024bb&_nc_ohc=Ljxn5j1472kAX83VGqp&_nc_ht=scontent.fcgh7-1.fna&oh=5f44be2cc47d125d969ab945f9f5933c&oe=5F1FF9C9,/story.php?story_fbid=926448024468297&id=234499770329796
80,925721217874311,Prefeitura de Icém,"[datetime.datetime(2020, 5, 10, 19, 36, 35)]",Boletim Informativo Atualizado :CORONAVÍROS Domingo 10/05/20 (ICÉM),https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/96833868_925721134540986_6942710996423147520_n.jpg?_nc_cat=105&_nc_sid=8024bb&_nc_ohc=wJojnRP2xgwAX9xu3NU&_nc_ht=scontent.fcgh7-1.fna&oh=4991c3d071da687a629fb688194a262c&oe=5F1FB2F4,/story.php?story_fbid=925721217874311&id=234499770329796
81,925256867920746,Prefeitura de Icém,"[datetime.datetime(2020, 5, 10, 7, 36, 33)]",Boletim Informativo Atualizado CORONAVÍRUS :Sábado 09/05/20 (Icém ),https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/96797367_925256791254087_8807751594968875008_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=OeyLp8dk5OEAX_oZS-c&_nc_ht=scontent.fcgh7-1.fna&oh=7758d5217272addf3ab970b847bde41f&oe=5F21C63F,/story.php?story_fbid=925256867920746&id=234499770329796
82,924278034685296,Prefeitura de Icém,"[datetime.datetime(2020, 5, 8, 23, 25, 43)]",Boletim Informativo Atualizado :CORONAVÍRUS 🚑 (Icém) 08/05/20,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/96734185_924277981351968_6005570684581838848_n.jpg?_nc_cat=110&_nc_sid=8024bb&_nc_oc=AQkZEEB7hQFp3X1uh9Wea30uAgiuWr83JypkvJ3y9vTtiClWsf27r_j5_BHXH1nlRaU&_nc_ht=scontent.fcgh7-1.fna&oh=4d2e4b915076b91c138647105fd0fcac&oe=5F1F6A40,/story.php?story_fbid=924278034685296&id=234499770329796
84,923407364772363,Prefeitura de Icém,"[datetime.datetime(2020, 5, 7, 18, 28, 47)]",Boletim Informativo atualizado: CORONAVÍRUS (ICÉM) 07/05/2020  🚑.,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/96232413_923406404772459_3745821230029078528_n.png?_nc_cat=104&_nc_sid=8024bb&_nc_ohc=3-4vmSIQwP0AX96fU5u&_nc_ht=scontent.fcgh7-1.fna&oh=5cd857b8dbc0a585920387eba60574a9&oe=5F20C144,/story.php?story_fbid=923407364772363&id=234499770329796
86,922724191507347,Prefeitura de Icém,"[datetime.datetime(2020, 5, 6, 19, 0, 57)]",Boletim Informativo atualizado:CORONAVÍRUS🏥 (Icém) 06/05/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/96712898_922724158174017_3986519546713341952_o.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=KibF5tghqD4AX9ePKLN&_nc_ht=scontent.fcgh7-1.fna&oh=75f86f248bdec888b8aad8390e80fecf&oe=5F206881,/story.php?story_fbid=922724191507347&id=234499770329796
87,922017348244698,Prefeitura de Icém,"[datetime.datetime(2020, 5, 5, 17, 48, 45)]",Boletim Informativo atualizado:CORONAVÍRUS🏥 (Icém) 05/05/20,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/96084271_922017324911367_4867881156936204288_o.jpg?_nc_cat=103&_nc_sid=110474&_nc_ohc=iEW3l3GQ17EAX9RhmTL&_nc_ht=scontent.fcgh7-1.fna&oh=b91290e41e2a0b0cfe9a58cc16e538df&oe=5F20DA77,/story.php?story_fbid=922017348244698&id=234499770329796
93,921395901640176,Prefeitura de Icém,"[datetime.datetime(2020, 5, 4, 19, 44, 34)]",Boletim Informativo 🚑 atualizado : Coronavírus (Icém) 04/05/20,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/95925063_921395718306861_4845695211310940160_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=BaWF-DTYClAAX_ymJ2q&_nc_ht=scontent.fcgh7-1.fna&oh=5a8e6793ce0412db1d8b1403975bde58&oe=5F1FAD22,/story.php?story_fbid=921395901640176&id=234499770329796
94,920747925038307,Prefeitura de Icém,"[datetime.datetime(2020, 5, 3, 21, 49, 11)]",Boletim Informativo atualizado:CORONAVÍRUS🏥 (Icém) 03/05/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-9/95819000_920747815038318_6682925626032128000_o.jpg?_nc_cat=107&_nc_sid=8024bb&_nc_ohc=owQk3xowXJwAX9OapRK&_nc_ht=scontent.fcgh7-1.fna&oh=913b80db1113d36c8d20daae1089c754&oe=5F20CDD6,/story.php?story_fbid=920747925038307&id=234499770329796
