post_id,source,date,text,image,url
926448024468297,Prefeitura de Icém,"[datetime.datetime(2020, 5, 11, 19, 38, 52)]",Boletim Informativo Atualizado :CORONAVÍRUS  Segunda-Feira 11/05/20 (ICÉM),https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p200x200/97003602_926447841134982_1401152416539213824_o.jpg?_nc_cat=111&_nc_sid=8024bb&efg=eyJpIjoiYiJ9&_nc_ohc=Ljxn5j1472kAX83VGqp&_nc_ht=scontent.fcgh7-1.fna&_nc_tp=3&oh=cd78f93718750721b0115655153f7705&oe=5F20565E,/story.php?story_fbid=926448024468297&id=234499770329796
925721217874311,Prefeitura de Icém,"[datetime.datetime(2020, 5, 10, 19, 36, 35)]",Boletim Informativo Atualizado :CORONAVÍROS Domingo 10/05/20 (ICÉM),https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p200x200/96833868_925721134540986_6942710996423147520_n.jpg?_nc_cat=105&_nc_sid=8024bb&efg=eyJpIjoiYiJ9&_nc_ohc=wJojnRP2xgwAX9xu3NU&_nc_ht=scontent.fcgh7-1.fna&_nc_tp=3&oh=3227f3c8eae2b1c5dfe1da2847c5284d&oe=5F1FE267,/story.php?story_fbid=925721217874311&id=234499770329796
925256867920746,Prefeitura de Icém,"[datetime.datetime(2020, 5, 10, 7, 36, 33)]",Boletim Informativo Atualizado CORONAVÍRUS :Sábado 09/05/20 (Icém ),https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/s200x200/96797367_925256791254087_8807751594968875008_o.jpg?_nc_cat=103&_nc_sid=8024bb&efg=eyJpIjoiYiJ9&_nc_ohc=OeyLp8dk5OEAX_oZS-c&_nc_ht=scontent.fcgh7-1.fna&_nc_tp=9&oh=98df9423cace54f1b2486bfab14ce3d3&oe=5F2084B9,/story.php?story_fbid=925256867920746&id=234499770329796
924278034685296,Prefeitura de Icém,"[datetime.datetime(2020, 5, 8, 23, 25, 43)]",Boletim Informativo Atualizado :CORONAVÍRUS 🚑 (Icém) 08/05/20,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p200x200/96734185_924277981351968_6005570684581838848_n.jpg?_nc_cat=110&_nc_sid=8024bb&efg=eyJpIjoiYiJ9&_nc_ohc=buttFYKFnUYAX8Lc-ns&_nc_ht=scontent.fcgh7-1.fna&_nc_tp=3&oh=2632a20d075d461ea52703a49738d329&oe=5F2089AB,/story.php?story_fbid=924278034685296&id=234499770329796
923946744718425,Prefeitura de Icém,"[datetime.datetime(2020, 5, 8, 12, 38, 26)]",,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/s200x200/96689607_923946414718458_6472042031718858752_n.png?_nc_cat=103&_nc_sid=8024bb&efg=eyJpIjoiYiJ9&_nc_ohc=WiFTLf7S3EoAX9EHQ3N&_nc_ht=scontent.fcgh7-1.fna&oh=97ec30d16ac89ddf03222a4975fcd028&oe=5F20A701,/story.php?story_fbid=923946744718425&id=234499770329796
923407364772363,Prefeitura de Icém,"[datetime.datetime(2020, 5, 7, 18, 28, 47)]",Boletim Informativo atualizado: CORONAVÍRUS (ICÉM) 07/05/2020  🚑.,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/p200x200/96232413_923406404772459_3745821230029078528_n.png?_nc_cat=104&_nc_sid=8024bb&efg=eyJpIjoiYiJ9&_nc_ohc=3-4vmSIQwP0AX96fU5u&_nc_ht=scontent.fcgh7-1.fna&oh=4e5b11f0ff1f5670bf2ebcc4e76fbbbc&oe=5F2247CE,/story.php?story_fbid=923407364772363&id=234499770329796
923348828111550,Prefeitura de Icém,"[datetime.datetime(2020, 5, 7, 16, 26)]",,"https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c137.0.637.1280a/s206x206/96239680_923348564778243_4977089560954535936_o.jpg?_nc_cat=103&_nc_sid=8024bb&efg=eyJpIjoiYiJ9&_nc_ohc=ZB-qp12eH_QAX-5INiJ&_nc_ht=scontent.fcgh7-1.fna&oh=c0c5f10a135966bc54ad7ee7e5391da4&oe=5F1FECB7,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/c131.0.631.1280a/s206x206/96774632_923348768111556_8797122568818524160_o.jpg?_nc_cat=107&_nc_sid=8024bb&efg=eyJpIjoiYiJ9&_nc_ohc=UHt-y-ZIIr8AX9ahumU&_nc_ht=scontent.fcgh7-1.fna&oh=ae90f249e0ee4eb5f222c54705124629&oe=5F2264C3",/story.php?story_fbid=923348828111550&id=234499770329796
922724191507347,Prefeitura de Icém,"[datetime.datetime(2020, 5, 6, 19, 0, 57)]",Boletim Informativo atualizado:CORONAVÍRUS🏥 (Icém) 06/05/2020,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p200x200/96712898_922724158174017_3986519546713341952_o.jpg?_nc_cat=103&_nc_sid=110474&efg=eyJpIjoiYiJ9&_nc_ohc=KibF5tghqD4AX9ePKLN&_nc_ht=scontent.fcgh7-1.fna&_nc_tp=3&oh=4e4d2a56ed482692bf4116ad452a9c43&oe=5F204496,/story.php?story_fbid=922724191507347&id=234499770329796
922017348244698,Prefeitura de Icém,"[datetime.datetime(2020, 5, 5, 17, 48, 45)]",Boletim Informativo atualizado:CORONAVÍRUS🏥 (Icém) 05/05/20,https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p200x200/96084271_922017324911367_4867881156936204288_o.jpg?_nc_cat=103&_nc_sid=110474&efg=eyJpIjoiYiJ9&_nc_ohc=iEW3l3GQ17EAX9RhmTL&_nc_ht=scontent.fcgh7-1.fna&_nc_tp=3&oh=97641afdf677cf44d4c40440ba00fcdb&oe=5F22CEE4,/story.php?story_fbid=922017348244698&id=234499770329796
922016298244803,Prefeitura de Icém,"[datetime.datetime(2020, 5, 5, 17, 46, 28)]","Atenção! 📣 Alunos da Escola Estadual João Ribeiro da Silveira na segunda-feira, 11 de maio será entregue os materiais pedagógicos para aulas não presenciais! ✅ Salientamos que a entrega será feita no portão principal de entrada dos alunos .  ✔Senhores Pais e alunos, pedimos por gentileza que ao vir retirar o Kit Pedagógico, realizem o distanciamento social e venham de máscaras para estarmos todos previnidos neste momento de pandemia do Covid-19 que estamos enfrentando!😷 ⏰Horário de entrega dos materiais pedagógicos: das 08h00 às17h00. #aulasemcasa🏡 #vaipassar #foco #escolaestadualjoãoribeiro",https://scontent.fcgh7-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/s240x240/96082746_922016264911473_7662695322237272064_o.jpg?_nc_cat=111&_nc_sid=110474&efg=eyJpIjoiYiJ9&_nc_ohc=P222f7pL-fIAX9mQnoi&_nc_ht=scontent.fcgh7-1.fna&_nc_tp=9&oh=aae3ee3fa99459a2ba0c9510cb070242&oe=5F218B0F,/story.php?story_fbid=922016298244803&id=234499770329796
